,Symbol,Price,Beta,Volume Avrg.,Market Cap,Shares (2019),Last Div,Dividend Yield,DCF Unlevered,DCF Levered,ROE,ROA,Operating Margin,Debt / Equity,P/E,P/B,Shares (2020),Shares ()
0,MMM,166.17,0.965,2630000.0,95720000000.0,585100000.0,5.76,0.0341,123.84,122.36,0.4541,0.1023,0.191,3.4379,19.95,9.06,,
1,ABT,104.7,0.932,5400000.0,185370000000.0,1781000000.0,1.28,0.0123,49.53,42.02,0.1186,0.0543,0.1401,1.1837,42.41,5.03,,
2,ABBV,89.7,0.688,7110000.0,158310000000.0,1484000000.0,4.28,0.0482,232.24,307.75,-0.9645,0.0884,0.3903,-11.9049,14.96,-14.43,,
3,ABMD,269.77,1.183,350000.0,12150000000.0,,0.0,-,100.65,123.23,0.1905,0.1669,0.2908,0.1417,42.56,8.11,45816000.0,
4,ACN,234.77,1.044,1850000.0,149570000000.0,650204870.0,2.92,0.0122,118.32,140.46,0.3317,0.1604,0.1459,1.0674,25.27,8.38,,
5,ATVI,77.97,0.722,6780000.0,60180000000.0,771000000.0,0.37,0.0048,65.28,69.6,0.1174,0.0757,0.2476,0.5498,30.87,3.62,,
6,ADBE,471.35,0.999,2830000.0,226090000000.0,491572000.0,0.0,-,125.48,218.49,0.2803,0.1422,0.2925,0.9717,54.5,15.28,,
7,AMD,76.34,2.293,61540000.0,89630000000.0,1120000000.0,0.0,-,0.91,-0.01,0.1206,0.0566,0.0676,1.1323,157.6,19.01,,
8,AAP,154.59,1.387,870000.0,10690000000.0,71165000.0,0.24,0.0016,-,-,0.1372,0.0433,0.0697,2.1694,20.11,2.76,,
9,AES,17.8,0.971,5690000.0,11840000000.0,667000000.0,0.546,0.0319,-298.38,-6.99,0.1011,0.009,0.1857,10.231,43.38,4.39,,
10,AFL,36.39,0.813,3350000.0,25940000000.0,746430000.0,1.08,0.0287,95.58,184.28,0.1141,0.0216,0.2477,4.2753,11.67,1.33,,
11,A,98.6,1.057,1420000.0,30400000000.0,318000000.0,0.641,0.0066,25.38,30.37,-,-,0.1805,-,-,-,,
12,APD,300.32,0.864,1110000.0,69270000000.0,221600000.0,4.52,0.015,101.04,63.17,0.1592,0.0929,0.2404,0.7137,26.67,4.25,,
13,AKAM,106.49,0.314,1750000.0,18270000000.0,164573000.0,0.0,-,293.19,504.76,0.1307,0.0682,0.1897,0.9155,32.2,4.21,,
14,ALK,40.33,1.49,2580000.0,4990000000.0,124289000.0,1.4,0.0348,47.15,92.81,0.1776,0.0592,0.1211,2.0,10.52,1.87,,
15,ALB,94.96,1.386,1060000.0,10100000000.0,106321000.0,1.4375,0.0152,27.09,7.78,0.1356,0.0541,0.1731,1.5077,15.89,2.15,,
16,ARE,158.36,0.777,880000.0,19970000000.0,112524000.0,3.97,0.0254,-596.71,-709.94,0.041,0.0197,0.2432,1.0743,50.12,2.05,,
17,ALXN,105.36,1.38,1800000.0,23570000000.0,224800000.0,0.0,-,68.15,121.53,0.2133,0.137,0.4248,0.5565,9.31,1.99,,
18,ALGN,317.66,1.903,760000.0,25030000000.0,80100000.0,0.0,-,44.83,109.1,0.3289,0.1771,0.2254,0.8576,47.16,15.51,,
19,ALLE,97.97,1.128,650000.0,9040000000.0,94300000.0,1.08,0.011,44.98,53.64,0.5305,0.1354,0.1875,2.9176,30.26,16.05,,
